Categoria,Subcategoria,Campo,Valor,Descripcion
Variable_Clave,Resultado_Primario,interpretacion,Mide la capacidad del sector público para cubrir gastos operativos sin considerar el servicio de deuda,Indicador de sostenibilidad fiscal estructural y disciplina presupuestaria
Variable_Clave,Ingresos_Totales,nombre_variable,RF100000SPFC_I_Ingresos_totales_del_sector_publico_federal_consolidado,Suma de ingresos corrientes (I1) e ingresos de capital (I2) del sector público consolidado
Variable_Clave,Ingresos_Totales,interpretacion,,Variable exógena en modelos de RFSP; análisis de elasticidad ingreso-PIB
Variable_Clave,Gastos_Totales,nombre_variable,RF200000SPFC_II_Gastos_totales_del_sector_publico_federal_consolidado,Suma de gastos corrientes (II1) y gastos de capital (II2) del sector público consolidado
Variable_Clave,Gastos_Totales,interpretacion,,Variable exógena en modelos de RFSP; análisis de rigidez del gasto público
Concepto_Clave,RFSP,definicion,"Requerimientos Financieros del Sector Público. Mide las necesidades de financiamiento del Gobierno Federal y entidades paraestatales, ajustado por ingresos no recurrentes.",
Concepto_Clave,Balance_Tradicional,definicion,Balance presupuestario básico = Ingresos presupuestarios - Gasto neto pagado. No incluye ajustes metodológicos.,
Concepto_Clave,Resultado_Primario,definicion,Balance fiscal excluyendo el costo financiero. Mide sostenibilidad estructural sin considerar servicio de deuda.,
Concepto_Clave,PIDIREGAS,definicion,Proyectos de Infraestructura Productiva de Largo Plazo. Inversión realizada por particulares que luego se transfiere al sector público.,
Concepto_Clave,IPAB,definicion,Instituto para la Protección al Ahorro Bancario. Organismo que asumió pasivos del rescate bancario de 1995-1998.,
Concepto_Clave,FONADIN,definicion,Fondo Nacional de Infraestructura. Fideicomiso para financiar proyectos de infraestructura.,
Concepto_Clave,Ingresos_Corrientes,definicion,"Flujos regulares y recurrentes (impuestos, contribuciones, ventas de bienes/servicios). Componente I1.",
Concepto_Clave,Ingresos_Capital,definicion,Venta de activos no financieros. Son no recurrentes. Componente I2.,
Concepto_Clave,Gastos_Corrientes,definicion,"Erogaciones para operación regular (sueldos, servicios, transferencias corrientes). Componente II1.",
Concepto_Clave,Gastos_Capital,definicion,"Inversión física en activos no financieros (infraestructura, maquinaria). Componente II2.",
Concepto_Clave,Financiamiento_Neto,definicion,Incurrimiento neto de pasivos (IV). Endeudamiento interno y externo para cubrir déficit.,
Concepto_Clave,Sector_Gobierno_Central,definicion,Gobierno Federal + Seguridad Social + Otros organismos de gobierno central.,
Concepto_Clave,Sector_Publico_No_Financiero,definicion,"Gobierno Central + Empresas públicas no financieras (PEMEX, CFE).",
Concepto_Clave,Sector_Publico_Consolidado,definicion,Incluye Gobierno Central + Empresas públicas financieras y no financieras.,
Metodologia,Fuentes,descripcion,"Dos fuentes principales de la SHCP: (1) Metodología Anterior 2001-2014 (trimestral), (2) Metodología Actual 2008-presente (mensual)",
Metodologia,Proceso_Construccion,paso_1,1. Concatenación vertical de datasets histórico (trimestral) y actual (mensual),
Metodologia,Proceso_Construccion,paso_2,2. Separación de datos por frecuencia: trimestrales ya agregados vs mensuales a agregar,
Metodologia,Proceso_Construccion,paso_3,"3. Mapeo de meses a trimestres (Ene-Mar=T1, Abr-Jun=T2, Jul-Sep=T3, Oct-Dic=T4)",
Metodologia,Proceso_Construccion,paso_4,4. Agregación temporal: suma de valores mensuales para obtener flujos trimestrales,
Metodologia,Proceso_Construccion,paso_5,5. Combinación vertical de datos históricos procesados y mensuales agregados,
Metodologia,Proceso_Construccion,paso_6,"6. Transformación a formato ancho (trimestres en filas, variables en columnas)",
Metodologia,Proceso_Construccion,paso_7,7. Limpieza: retención de variables con ≥50% completitud (ajustado por traslape metodológico),
Metodologia,Proceso_Construccion,paso_8,8. Imputación de valores faltantes con ceros para completar la serie temporal,
Metodologia,Traslape_Temporal,descripcion,"2008-2014: Ambas metodologías coexisten. Metodología anterior tiene 16 conceptos, metodología actual tiene 197 conceptos",
Calidad_Datos,completitud,valor,100% después de imputación con ceros (50% mínimo original debido al traslape metodológico),
Calidad_Datos,consistencia,valor,Alta - los datos provienen de registros oficiales de finanzas públicas de la SHCP,
Calidad_Datos,actualidad,valor,Datos hasta julio 2025 con actualización mensual,
Calidad_Datos,precision,valor,Miles de pesos - adecuada para análisis macroeconómico y fiscal,
Calidad_Datos,verificacion_calidad,item_1,Verificar identidades contables: RFSP = I - II + V - IV + VI,
Calidad_Datos,verificacion_calidad,item_2,Confirmar que sumas sectoriales coinciden con consolidados,
Calidad_Datos,verificacion_calidad,item_3,Validar que resultado primario excluye correctamente el costo financiero,
Calidad_Datos,verificacion_calidad,item_4,Comparar con Informes Trimestrales de Finanzas Públicas y Deuda Pública de SHCP,
Calidad_Datos,verificacion_calidad,item_5,Revisar consistencia de series en periodo de traslape 2008-2014,
Calidad_Datos,limitaciones,item_1,Cambio metodológico en 2008 puede generar discontinuidad en series largas,
Calidad_Datos,limitaciones,item_2,Traslape 2008-2014 con diferentes niveles de desagregación entre metodologías,
Calidad_Datos,limitaciones,item_3,Datos en pesos corrientes requieren deflactación con INPC para análisis real,
Calidad_Datos,limitaciones,item_4,Completitud variable: umbral 50% aplicado (vs 80% en otros datasets fiscales),
Calidad_Datos,limitaciones,item_5,Algunas series solo disponibles desde 2008 por introducción de nueva metodología,
Calidad_Datos,limitaciones,item_6,Imputación con ceros puede subestimar volatilidad real en periodos con datos faltantes,
Uso_Recomendado,analisis_temporal,recomendacion,"Utilizar 'periodo' como índice temporal. Aplicar pruebas de raíz unitaria (ADF, KPSS) antes de modelar series de tiempo.",
Uso_Recomendado,analisis_estacionalidad,recomendacion,Usar 'TRIMESTRE' para detectar patrones estacionales en ingresos tributarios y gasto público. Considerar desestacionalización (X-13 ARIMA).,
Uso_Recomendado,analisis_sostenibilidad_fiscal,recomendacion,Calcular RFSP/PIB y Resultado_Primario/PIB para evaluar trayectoria de la deuda pública. Regla FMI: déficit primario <3% PIB.,
Uso_Recomendado,analisis_estructural,recomendacion,Descomponer RFSP en componente cíclico y estructural usando filtro Hodrick-Prescott o función de producción.,
Uso_Recomendado,analisis_composicion_ingreso,recomendacion,"Desagregar ingresos totales en tributarios (RF111000), petroleros (extractables de transferencias PEMEX), y no tributarios.",
Uso_Recomendado,analisis_composicion_gasto,recomendacion,"Clasificar gasto en corriente vs capital (RF21XXXX vs RF22XXXX), y primario vs financiero (excluir RF213000).",
Uso_Recomendado,analisis_sectorial,recomendacion,Comparar RFSP por sector institucional: SGCP vs EPNFC vs EPFC para identificar fuentes de desequilibrio.,
Uso_Recomendado,modelos_pronostico,recomendacion,ARIMA/SARIMA para variables de alta frecuencia. VAR para relaciones dinámicas entre ingresos-gastos-RFSP.,
Uso_Recomendado,modelos_multivariados,recomendacion,"VAR/VECM con PIB, inflación, tipo de cambio y precio petróleo como variables exógenas en modelo de RFSP.",
Uso_Recomendado,integracion_otras_fuentes,recomendacion,"Combinar con PIB trimestral (INEGI), deuda pública (SHCP), recaudación (SAT) usando 'periodo' como llave.",
Variables_Derivadas,Razones_Fiscales,RFSP_PIB,RFSP / PIB trimestral × 100 (indicador de sostenibilidad fiscal),
Variables_Derivadas,Razones_Fiscales,Resultado_Primario_PIB,Resultado primario / PIB × 100 (capacidad de pago sin considerar intereses),
Variables_Derivadas,Razones_Fiscales,Ingresos_PIB,Ingresos totales / PIB × 100 (presión fiscal),
Variables_Derivadas,Razones_Fiscales,Gastos_PIB,Gastos totales / PIB × 100 (tamaño del sector público),
Variables_Derivadas,Razones_Fiscales,Deuda_PIB,Saldo histórico RFSP / PIB × 100 (carga de deuda acumulada),
Variables_Derivadas,Indicadores_Composicion,Participacion_Ingresos_Corrientes,Ingresos corrientes / Ingresos totales × 100,
Variables_Derivadas,Indicadores_Composicion,Rigidez_Gasto,Gastos corrientes / Gastos totales × 100,
Variables_Derivadas,Indicadores_Composicion,Costo_Financiero_Relativo,Intereses / Gastos totales × 100,
Variables_Derivadas,Indicadores_Composicion,Inversion_Publica,Gastos de capital / Gastos totales × 100,
Variables_Derivadas,Tasas_Crecimiento,g_Ingresos,Variación % trimestral o interanual de ingresos totales,
Variables_Derivadas,Tasas_Crecimiento,g_Gastos,Variación % trimestral o interanual de gastos totales,
Variables_Derivadas,Tasas_Crecimiento,g_RFSP,Cambio absoluto en RFSP (diferencia en niveles),
Variables_Derivadas,Tasas_Crecimiento,g_Resultado_Primario,Variación en puntos del PIB del resultado primario,
Variables_Derivadas,Indicadores_Ciclo_Fiscal,Impulso_Fiscal,Cambio en el resultado primario estructural entre trimestres,
Variables_Derivadas,Indicadores_Ciclo_Fiscal,Balance_Ciclico,RFSP observado - RFSP estructural (requiere estimación de brecha producto),
Variables_Derivadas,Indicadores_Ciclo_Fiscal,Elasticidad_Ingresos,% cambio ingresos / % cambio PIB (sensibilidad del ingreso al ciclo),
Variables_Derivadas,Series_Deflactadas,RFSP_Real,RFSP nominal / (INPC/100) en pesos constantes,
Variables_Derivadas,Series_Deflactadas,Ingresos_Reales,Ingresos totales deflactados,
Variables_Derivadas,Series_Deflactadas,Gastos_Reales,Gastos totales deflactados,
Referencias,documentacion_oficial,ref_1,Estadísticas Oportunas de Finanzas Públicas - SHCP,
Referencias,documentacion_oficial,ref_2,"Informes Trimestrales sobre la Situación Económica, las Finanzas Públicas y la Deuda Pública",
Referencias,documentacion_oficial,ref_3,Cuenta de la Hacienda Pública Federal,
Referencias,documentacion_oficial,ref_4,Criterios Generales de Política Económica,
Referencias,normatividad,ref_1,Ley Federal de Presupuesto y Responsabilidad Hacendaria,
Referencias,normatividad,ref_2,Ley de Ingresos de la Federación (anual),
Referencias,normatividad,ref_3,Presupuesto de Egresos de la Federación (anual),
Referencias,normatividad,ref_4,Ley General de Deuda Pública,
Referencias,metodologia_tecnica,ref_1,Manual de Estadísticas de Finanzas Públicas 2014 - FMI,
Referencias,metodologia_tecnica,ref_2,Government Finance Statistics Manual (GFSM 2014) - IMF,
Referencias,metodologia_tecnica,ref_3,Diccionario de Datos RFSP Metodología Actual - SHCP,
Referencias,metodologia_tecnica,ref_4,Diccionario de Datos RFSP Metodología Anterior - SHCP,
Referencias,datasets_complementarios,ref_1,PIB trimestral - INEGI (Sistema de Cuentas Nacionales),
Referencias,datasets_complementarios,ref_2,Índice Nacional de Precios al Consumidor (INPC) - INEGI,
Referencias,datasets_complementarios,ref_3,Tipo de cambio peso-dólar (FIX) - Banco de México,
Referencias,datasets_complementarios,ref_4,Saldo histórico de los RFSP (deuda pública) - SHCP,
Referencias,datasets_complementarios,ref_5,Recaudación tributaria federal - SAT,
Referencias,datasets_complementarios,ref_6,Balance Público - SHCP (ingresos y gastos detallados),
Referencias,datasets_complementarios,ref_7,Deuda externa del sector público - SHCP,
Referencias,enlaces_utiles,portal_shcp,https://www.finanzaspublicas.hacienda.gob.mx/,
Referencias,enlaces_utiles,datos_abiertos,https://datos.gob.mx/,
Referencias,enlaces_utiles,diccionario_actual,http://www.secciones.hacienda.gob.mx/work/models/estadisticas_oportunas/datos_abiertos_eopf/dic_datos_rfsp_actual.pdf,
Referencias,enlaces_utiles,diccionario_historico,http://www.secciones.hacienda.gob.mx/work/models/estadisticas_oportunas/datos_abiertos_eopf/dic_datos_rfsp_hist.pdf,
Referencias,enlaces_utiles,licencia,http://datos.gob.mx/libreusomx,
