Seccion,Campo,Valor,Descripcion
Diferencias_Fuentes_Nacionales,conversion_monedas,Los tipos de cambio utilizados para conversión de monedas pueden variar entre el Banco Mundial y las autoridades nacionales.,
Diferencias_Fuentes_Nacionales,recomendacion,"Para análisis del sector público mexicano específicamente, se recomienda utilizar las estadísticas de la SHCP. Para análisis de la posición externa total de la economía o comparaciones internacionales, utilizar los datos del Banco Mundial.",
Contexto_Historico,periodo_2000_2008,Periodo de relativa estabilidad con crecimiento moderado de la deuda externa. México fortaleció su posición externa tras las crisis de los años 90.,
Contexto_Historico,crisis_financiera_2008_2009,"La crisis financiera global tuvo impacto moderado en la deuda externa de México, que mostró resiliencia comparada con otras economías emergentes.",
Contexto_Historico,periodo_2010_2019,"Crecimiento sostenido de la deuda externa, alcanzando un máximo en 2019, reflejando mayor integración financiera internacional y acceso a mercados de capitales.",
Contexto_Historico,pandemia_covid19_2020,Ligera reducción de la deuda externa en 2020 debido a contracción económica global y menor actividad de financiamiento internacional.,
Contexto_Historico,periodo_2021_2023,"Estabilización de la deuda externa en niveles cercanos a 600 mil millones de dólares, con variaciones influenciadas por tipos de cambio y condiciones de mercados financieros internacionales.",
Indicadores_Relacionados,deuda_pib,Ratio de Deuda Externa / PIB - Mide la carga de deuda en relación al tamaño de la economía,
Indicadores_Relacionados,deuda_exportaciones,Ratio de Deuda Externa / Exportaciones - Indica capacidad de servicio de deuda con ingresos de divisas,
Indicadores_Relacionados,deuda_reservas,Ratio de Deuda Externa / Reservas Internacionales - Evalúa cobertura de la deuda con activos líquidos externos,
Indicadores_Relacionados,servicio_deuda,Servicio de la Deuda Externa - Flujos de amortización e intereses pagados en el periodo,
Indicadores_Relacionados,deuda_corto_plazo,Deuda Externa de Corto Plazo / Deuda Total - Indica presión de refinanciamiento inmediato,
Indicadores_Relacionados,deuda_publica,Deuda Externa del Sector Público - Subcomponente de la deuda total (disponible en fuentes SHCP),
Indicadores_Relacionados,deuda_privada,Deuda Externa del Sector Privado - Complemento de la deuda pública para obtener el total,
Calidad_Datos,completitud,100% - No hay valores faltantes en ninguna de las 24 observaciones,
Calidad_Datos,precision,Alta - Los datos provienen de fuentes oficiales compiladas por el Banco Mundial bajo estándares internacionales,
Calidad_Datos,consistencia,Alta - Metodología consistente aplicada a lo largo de toda la serie temporal,
Calidad_Datos,oportunidad,Los datos se actualizan anualmente con rezago de varios meses. Última actualización registrada: julio 2025,
Calidad_Datos,confiabilidad,Muy alta - El Banco Mundial es una fuente reconocida internacionalmente para estadísticas de deuda externa,
Calidad_Datos,limitaciones_conocidas,No incluye desagregación por sector (público/privado); No incluye desagregación por plazo (corto/largo); No incluye desagregación por instrumento financiero; No incluye desagregación por acreedor o país; Expresado en precios corrientes sin ajuste por inflación; Posibles diferencias metodológicas con estadísticas nacionales,
